ID,Item_Name,Brand,Model,Category,Year_of_Purchase,Condition,Quantity,Weight_kg,Recycle_Method,Location,Recycling_Facility,Collection_Date,End_Use,Recycled_Price_USD,Toxic_Components,E-Waste_Collector,Carbon_Footprint,Exported_To
1033,Washing Machine,Dell,Dell Model 273,Appliance,2019,Broken,1,69.54,Automated,Berlin,Facility D,2024/6/23,Parts for Electronics,58.09,Cadmium,Green Electronics,9.14,Brazil
8631,Headphone,LG,LG Model 434,Electronics,2010,Working,3,0.51,Automated,London,Facility B,2024/10/20,E-Waste Disposal,131.68,Cadmium,E-Waste Inc.,3.14,India
3577,Headphone,LG,LG Model 278,Electronics,2022,Broken,5,0.99,Manual,Mumbai,Facility D,2024/2/15,Parts for Electronics,81.23,Cadmium,EcoWaste Solutions,6.57,China
3014,Smartphone,Panasonic,Panasonic Model 565,Mobile,2012,Working,5,0.1,Manual,Mumbai,Facility C,2024/6/2,Raw Materials,108.01,Mercury,EcoWaste Solutions,9.68,Brazil
5829,Headphone,HP,HP Model 179,Electronics,2015,Working,3,0.5,Both,Mumbai,Facility B,2024/6/6,E-Waste Disposal,161.37,None,EcoWaste Solutions,17.16,USA
957,Headphone,LG,LG Model 113,Electronics,2010,Partially Working,4,0.1,Manual,New York,Facility B,2023/12/18,Parts for Electronics,6.77,Mercury,Green Electronics,15.35,Germany
7785,Smartphone,Samsung,Samsung Model 508,Mobile,2014,Partially Working,1,0.48,Automated,Berlin,Facility D,2024/10/13,Raw Materials,157.83,Cadmium,Green Electronics,18.86,Germany
8475,Headphone,HP,HP Model 948,Electronics,2010,Broken,5,0.36,Automated,London,Facility C,2024/11/2,Parts for Electronics,67.23,Mercury,Green Electronics,18.56,Brazil
626,Washing Machine,Dell,Dell Model 539,Appliance,2012,Partially Working,1,70.01,Manual,New York,Facility B,2023/12/29,E-Waste Disposal,46.73,None,E-Waste Inc.,3.87,USA
2722,Air Conditioner,Samsung,Samsung Model 815,Appliance,2018,Working,2,29.74,Both,Mumbai,Facility B,2024/5/31,Raw Materials,69.73,Cadmium,Green Electronics,10.5,China
5049,Refrigerator,Samsung,Samsung Model 342,Appliance,2019,Broken,1,80.16,Both,Mumbai,Facility A,2024/7/2,E-Waste Disposal,148.29,None,E-Waste Inc.,18.65,India
1261,Air Conditioner,Panasonic,Panasonic Model 782,Appliance,2016,Working,4,29.61,Both,New York,Facility A,2024/2/27,Parts for Electronics,159.53,Cadmium,EcoWaste Solutions,15.65,China
7717,Headphone,HP,HP Model 163,Electronics,2012,Broken,3,0.14,Manual,Berlin,Facility C,2024/3/10,E-Waste Disposal,92.37,None,Green Electronics,10.51,Germany
2539,Air Conditioner,LG,LG Model 247,Appliance,2019,Working,2,30.44,Manual,Shanghai,Facility A,2024/9/24,Parts for Electronics,149.01,Lead,EcoWaste Solutions,17.52,India
4026,TV,Xiaomi,Xiaomi Model 531,Electronics,2020,Broken,3,14.76,Automated,London,Facility C,2024/6/20,E-Waste Disposal,47.72,Cadmium,EcoWaste Solutions,18.19,China
5515,Smartphone,LG,LG Model 815,Mobile,2010,Broken,4,0.21,Manual,New York,Facility D,2024/8/21,Raw Materials,20.09,Cadmium,EcoWaste Solutions,2.8,Brazil
1343,Laptop,Xiaomi,Xiaomi Model 659,Computers,2021,Broken,1,2.15,Automated,Shanghai,Facility C,2024/8/16,E-Waste Disposal,108.7,Cadmium,E-Waste Inc.,15.42,India
3346,Headphone,Samsung,Samsung Model 922,Electronics,2017,Broken,3,0.17,Manual,London,Facility A,2023/12/10,Parts for Electronics,170.03,Mercury,E-Waste Inc.,19.29,China
6134,Laptop,Apple,Apple Model 273,Computers,2019,Broken,4,1.93,Manual,London,Facility D,2024/3/23,Parts for Electronics,193.1,Cadmium,E-Waste Inc.,11.05,Germany
4118,Air Conditioner,Samsung,Samsung Model 324,Appliance,2022,Partially Working,1,30.43,Automated,London,Facility C,2024/5/22,E-Waste Disposal,71.35,Lead,Green Electronics,18.71,Brazil
8094,Headphone,Sony,Sony Model 598,Electronics,2020,Working,5,0.22,Both,Berlin,Facility C,2024/5/16,Raw Materials,56.67,Mercury,E-Waste Inc.,6.32,India
5572,Washing Machine,Xiaomi,Xiaomi Model 393,Appliance,2011,Working,5,70.39,Both,Shanghai,Facility A,2024/4/23,E-Waste Disposal,127.57,None,E-Waste Inc.,19.95,Brazil
9470,Headphone,Apple,Apple Model 714,Electronics,2012,Partially Working,4,0.45,Both,New York,Facility B,2024/8/2,Raw Materials,175.07,None,EcoWaste Solutions,16.33,Germany
5176,Washing Machine,Xiaomi,Xiaomi Model 309,Appliance,2014,Working,3,70.16,Manual,New York,Facility A,2024/4/17,Parts for Electronics,56.43,Cadmium,Green Electronics,4.63,China
9923,Smartphone,Sony,Sony Model 649,Mobile,2012,Working,1,0.22,Both,London,Facility C,2024/8/14,Raw Materials,104.68,None,EcoWaste Solutions,7.11,USA
3426,Air Conditioner,Apple,Apple Model 518,Appliance,2023,Working,1,30.08,Automated,New York,Facility C,2024/5/13,Parts for Electronics,86.24,Cadmium,EcoWaste Solutions,2.28,China
2750,Washing Machine,LG,LG Model 646,Appliance,2016,Partially Working,2,70.47,Manual,Shanghai,Facility D,2024/10/9,E-Waste Disposal,57.49,Lead,EcoWaste Solutions,12.97,Germany
4484,Refrigerator,Xiaomi,Xiaomi Model 823,Appliance,2016,Partially Working,3,79.81,Manual,New York,Facility B,2023/12/14,Raw Materials,197.48,Cadmium,Green Electronics,17.84,Germany
520,Laptop,Xiaomi,Xiaomi Model 462,Computers,2016,Partially Working,5,1.51,Manual,Dhaka,Facility B,2023/11/21,Raw Materials,31.34,Lead,E-Waste Inc.,1.52,Brazil
291,Smartphone,Apple,Apple Model 419,Mobile,2016,Broken,3,0.1,Automated,Mumbai,Facility B,2024/9/8,E-Waste Disposal,65.13,Lead,E-Waste Inc.,5.95,Brazil
3138,TV,Xiaomi,Xiaomi Model 759,Electronics,2011,Partially Working,1,15.37,Both,New York,Facility C,2024/1/25,Parts for Electronics,38.86,Mercury,EcoWaste Solutions,19.75,India
2709,Washing Machine,Sony,Sony Model 413,Appliance,2012,Partially Working,4,70.2,Automated,Berlin,Facility D,2024/6/6,E-Waste Disposal,117.6,Mercury,E-Waste Inc.,1.34,China
4012,Microwave,HP,HP Model 833,Appliance,2021,Working,3,11.72,Both,Dhaka,Facility A,2024/8/9,E-Waste Disposal,196.06,Cadmium,EcoWaste Solutions,13.14,India
7344,Laptop,Panasonic,Panasonic Model 653,Computers,2023,Broken,2,2.35,Manual,Dhaka,Facility B,2023/12/26,Parts for Electronics,54.21,None,E-Waste Inc.,9.25,USA
1795,Headphone,Xiaomi,Xiaomi Model 841,Electronics,2020,Partially Working,2,0.57,Manual,Berlin,Facility D,2024/8/17,E-Waste Disposal,76.2,None,EcoWaste Solutions,6.11,Germany
2883,Microwave,LG,LG Model 734,Appliance,2022,Broken,5,12.44,Manual,Berlin,Facility C,2024/3/27,Raw Materials,24.68,Cadmium,Green Electronics,8.57,Brazil
502,Washing Machine,LG,LG Model 217,Appliance,2021,Working,3,69.88,Manual,New York,Facility C,2024/6/15,E-Waste Disposal,153.21,None,E-Waste Inc.,3.6,Brazil
9589,Headphone,Panasonic,Panasonic Model 207,Electronics,2012,Broken,4,0.34,Automated,Dhaka,Facility A,2024/10/30,Raw Materials,152.6,Lead,E-Waste Inc.,2.3,USA
3354,Headphone,HP,HP Model 927,Electronics,2022,Broken,5,0.7,Automated,Dhaka,Facility C,2024/11/7,E-Waste Disposal,53.01,Lead,Green Electronics,7.16,China
8175,Refrigerator,Xiaomi,Xiaomi Model 432,Appliance,2012,Working,5,80.2,Both,Berlin,Facility D,2024/5/2,Raw Materials,152.37,Cadmium,E-Waste Inc.,4.34,China
2766,Microwave,Sony,Sony Model 851,Appliance,2011,Partially Working,5,12.02,Both,Dhaka,Facility C,2024/6/18,E-Waste Disposal,34.93,None,EcoWaste Solutions,10.52,Brazil
6762,Laptop,Xiaomi,Xiaomi Model 601,Computers,2022,Broken,4,2.31,Automated,Shanghai,Facility A,2024/9/13,E-Waste Disposal,35.35,Lead,E-Waste Inc.,15.99,Germany
8171,Smartphone,Samsung,Samsung Model 555,Mobile,2023,Working,2,0.69,Manual,Dhaka,Facility D,2024/2/16,E-Waste Disposal,98.11,None,Green Electronics,10.16,China
3630,Microwave,Apple,Apple Model 342,Appliance,2011,Broken,1,12.44,Both,London,Facility A,2024/8/23,Parts for Electronics,59.6,Cadmium,E-Waste Inc.,18.1,India
6723,Smartphone,LG,LG Model 444,Mobile,2019,Working,5,0.1,Manual,New York,Facility D,2024/1/9,Parts for Electronics,109.99,Lead,E-Waste Inc.,9.69,USA
4658,Smartphone,Samsung,Samsung Model 464,Mobile,2011,Broken,2,0.1,Manual,Berlin,Facility B,2024/1/14,E-Waste Disposal,97.68,None,E-Waste Inc.,6.3,Germany
4100,Washing Machine,LG,LG Model 133,Appliance,2020,Broken,5,70.35,Both,Mumbai,Facility A,2024/2/22,Raw Materials,133.07,Cadmium,EcoWaste Solutions,2.38,USA
3792,Washing Machine,HP,HP Model 995,Appliance,2023,Working,3,69.92,Manual,Berlin,Facility A,2024/10/24,Raw Materials,31.19,Lead,EcoWaste Solutions,6.65,China
1892,Washing Machine,Apple,Apple Model 784,Appliance,2011,Partially Working,5,70.28,Automated,New York,Facility C,2024/3/25,E-Waste Disposal,152.14,None,Green Electronics,15.98,China
1869,TV,Sony,Sony Model 315,Electronics,2021,Partially Working,1,15.41,Automated,Berlin,Facility D,2024/8/7,E-Waste Disposal,100.02,Lead,Green Electronics,17.48,China
4270,TV,Xiaomi,Xiaomi Model 737,Electronics,2014,Working,3,14.66,Both,London,Facility B,2023/12/8,Raw Materials,104.41,Mercury,Green Electronics,1.92,Germany
6864,Washing Machine,HP,HP Model 930,Appliance,2013,Working,2,70,Automated,Mumbai,Facility C,2024/1/30,Raw Materials,6.19,Lead,EcoWaste Solutions,12.36,Brazil
1556,Washing Machine,Xiaomi,Xiaomi Model 113,Appliance,2011,Working,3,69.58,Automated,London,Facility A,2023/12/1,Parts for Electronics,36.92,Cadmium,EcoWaste Solutions,4.05,Brazil
4797,Microwave,Panasonic,Panasonic Model 885,Appliance,2016,Partially Working,1,12.26,Automated,Shanghai,Facility A,2024/3/13,Raw Materials,120.78,Lead,EcoWaste Solutions,10.7,USA
7036,Headphone,Panasonic,Panasonic Model 944,Electronics,2023,Broken,4,0.36,Automated,Dhaka,Facility A,2024/7/23,Raw Materials,22.4,None,E-Waste Inc.,16.39,USA
4577,Headphone,Samsung,Samsung Model 760,Electronics,2022,Partially Working,1,0.32,Both,Mumbai,Facility D,2024/5/21,Raw Materials,54.24,None,E-Waste Inc.,10.3,Brazil
2289,Washing Machine,Apple,Apple Model 542,Appliance,2014,Partially Working,2,70.22,Automated,Dhaka,Facility C,2024/3/29,E-Waste Disposal,147.18,None,EcoWaste Solutions,18.85,Brazil
5018,Headphone,Sony,Sony Model 446,Electronics,2022,Broken,3,0.74,Automated,Berlin,Facility C,2024/3/16,Raw Materials,77.86,Cadmium,Green Electronics,14.65,Germany
2675,Headphone,HP,HP Model 284,Electronics,2023,Working,1,0.67,Automated,Mumbai,Facility B,2024/7/3,E-Waste Disposal,194.64,Cadmium,Green Electronics,13.09,India
9422,Laptop,Samsung,Samsung Model 339,Computers,2022,Broken,1,2.49,Both,Mumbai,Facility D,2023/12/16,Parts for Electronics,145.36,None,E-Waste Inc.,14.19,Germany
3262,Headphone,Sony,Sony Model 136,Electronics,2011,Partially Working,4,0.56,Manual,London,Facility D,2024/5/23,Raw Materials,20.83,None,E-Waste Inc.,13.84,Germany
8557,Washing Machine,Dell,Dell Model 905,Appliance,2010,Broken,3,69.68,Automated,Mumbai,Facility A,2024/8/29,Parts for Electronics,164.78,Mercury,EcoWaste Solutions,6.99,Germany
5654,TV,HP,HP Model 304,Electronics,2022,Broken,2,14.83,Automated,New York,Facility A,2024/5/19,Parts for Electronics,38.86,Mercury,E-Waste Inc.,17.09,India
5034,Refrigerator,Apple,Apple Model 487,Appliance,2020,Working,5,80.39,Both,Shanghai,Facility A,2024/4/20,E-Waste Disposal,151.8,Mercury,E-Waste Inc.,5.25,India
8428,Laptop,Xiaomi,Xiaomi Model 727,Computers,2015,Partially Working,5,1.57,Manual,Dhaka,Facility A,2024/6/18,Raw Materials,128.41,None,Green Electronics,6.28,USA
4812,Air Conditioner,Xiaomi,Xiaomi Model 879,Appliance,2012,Partially Working,4,29.83,Automated,New York,Facility B,2024/10/21,Parts for Electronics,31.56,Mercury,E-Waste Inc.,5.47,India
9881,Smartphone,Panasonic,Panasonic Model 403,Mobile,2019,Working,2,0.6,Both,Dhaka,Facility C,2024/4/11,Parts for Electronics,174.58,Cadmium,EcoWaste Solutions,18.64,India
4871,Washing Machine,Panasonic,Panasonic Model 913,Appliance,2013,Broken,2,69.71,Automated,London,Facility D,2024/9/10,E-Waste Disposal,190.27,None,EcoWaste Solutions,16.6,China
2384,TV,LG,LG Model 776,Electronics,2014,Partially Working,2,15.3,Manual,Shanghai,Facility C,2024/1/28,E-Waste Disposal,73.16,None,Green Electronics,4.58,Brazil
174,Smartphone,HP,HP Model 615,Mobile,2015,Broken,1,0.6,Both,Mumbai,Facility C,2024/9/5,E-Waste Disposal,17.92,None,Green Electronics,7.09,USA
6612,Smartphone,LG,LG Model 901,Mobile,2021,Working,3,0.1,Both,Mumbai,Facility A,2024/4/19,E-Waste Disposal,96.22,None,Green Electronics,17.15,Brazil
10,Laptop,Samsung,Samsung Model 107,Computers,2016,Partially Working,5,2.39,Both,Berlin,Facility B,2024/5/14,E-Waste Disposal,91.01,Mercury,E-Waste Inc.,5.3,China
2488,Smartphone,Apple,Apple Model 942,Mobile,2017,Broken,1,0.5,Automated,Mumbai,Facility B,2024/6/3,E-Waste Disposal,176.6,Mercury,Green Electronics,3.66,USA
6921,TV,Samsung,Samsung Model 436,Electronics,2018,Broken,1,14.55,Manual,Shanghai,Facility A,2024/7/9,Parts for Electronics,83.86,Lead,Green Electronics,6.52,China
27,Laptop,Apple,Apple Model 357,Computers,2014,Partially Working,1,2.06,Both,New York,Facility B,2024/1/20,Parts for Electronics,129.53,Cadmium,Green Electronics,19.63,Germany
4537,Washing Machine,Xiaomi,Xiaomi Model 522,Appliance,2021,Broken,5,70.44,Both,London,Facility A,2024/7/28,E-Waste Disposal,66.94,None,EcoWaste Solutions,16.66,India
7660,Laptop,Xiaomi,Xiaomi Model 192,Computers,2017,Working,4,1.98,Manual,Berlin,Facility B,2024/9/9,Raw Materials,197.53,Cadmium,E-Waste Inc.,8.12,Brazil
9768,Washing Machine,Panasonic,Panasonic Model 629,Appliance,2011,Working,4,70.26,Automated,New York,Facility D,2024/2/15,Raw Materials,68.07,None,EcoWaste Solutions,11.33,India
3070,Washing Machine,Sony,Sony Model 336,Appliance,2013,Partially Working,1,69.91,Both,Berlin,Facility A,2024/11/6,Parts for Electronics,53.75,Mercury,Green Electronics,16.75,India
7749,TV,Dell,Dell Model 442,Electronics,2013,Partially Working,4,15.04,Manual,Dhaka,Facility B,2023/12/25,E-Waste Disposal,60.48,Cadmium,E-Waste Inc.,13.6,China
7894,TV,HP,HP Model 116,Electronics,2023,Working,4,14.74,Manual,London,Facility A,2024/10/30,Raw Materials,88.06,Mercury,Green Electronics,4.21,China
3950,Washing Machine,Apple,Apple Model 950,Appliance,2011,Broken,2,70.18,Both,London,Facility B,2024/4/26,Parts for Electronics,127.01,Lead,Green Electronics,9.62,India
2,Laptop,Dell,Dell Model 156,Computers,2012,Broken,2,1.92,Both,Mumbai,Facility B,2024/6/1,Raw Materials,89.71,None,EcoWaste Solutions,14.17,USA
6374,Laptop,LG,LG Model 964,Computers,2016,Broken,1,2.33,Both,New York,Facility A,2024/5/16,E-Waste Disposal,36.58,Cadmium,E-Waste Inc.,17.9,India
7978,Washing Machine,HP,HP Model 513,Appliance,2021,Working,2,70.16,Automated,Shanghai,Facility C,2024/4/10,Parts for Electronics,151.62,Lead,Green Electronics,6.86,Germany
5057,TV,HP,HP Model 262,Electronics,2010,Broken,3,15.3,Manual,Shanghai,Facility C,2024/7/19,Raw Materials,45.82,Mercury,E-Waste Inc.,15.66,India
4085,TV,Samsung,Samsung Model 236,Electronics,2011,Partially Working,4,14.87,Manual,Shanghai,Facility D,2024/3/3,Parts for Electronics,83.74,Lead,E-Waste Inc.,2.22,India
8101,Smartphone,Xiaomi,Xiaomi Model 983,Mobile,2021,Broken,3,0.1,Both,Shanghai,Facility A,2024/5/11,E-Waste Disposal,162.14,Cadmium,E-Waste Inc.,19.79,Brazil
7229,TV,Xiaomi,Xiaomi Model 594,Electronics,2017,Partially Working,2,15.45,Automated,Mumbai,Facility A,2024/8/5,Parts for Electronics,64.38,None,E-Waste Inc.,16.33,USA
3734,Smartphone,Dell,Dell Model 294,Mobile,2018,Working,1,0.44,Both,Berlin,Facility A,2024/6/1,Raw Materials,133.8,Lead,EcoWaste Solutions,12.74,Germany
4929,Smartphone,Xiaomi,Xiaomi Model 962,Mobile,2017,Partially Working,5,0.61,Both,Mumbai,Facility A,2024/1/30,Raw Materials,157.56,Cadmium,Green Electronics,11,USA
2443,Microwave,Apple,Apple Model 472,Appliance,2017,Partially Working,2,12.05,Automated,Mumbai,Facility C,2023/12/31,Parts for Electronics,33.05,Mercury,EcoWaste Solutions,6.67,Germany
7974,Smartphone,Apple,Apple Model 435,Mobile,2023,Partially Working,3,0.31,Both,Mumbai,Facility C,2024/8/17,E-Waste Disposal,110.96,Cadmium,Green Electronics,17.18,Germany
9950,Headphone,LG,LG Model 507,Electronics,2013,Broken,4,0.29,Automated,Dhaka,Facility A,2024/10/3,Raw Materials,56.41,Lead,EcoWaste Solutions,15.12,India
4427,Washing Machine,Xiaomi,Xiaomi Model 527,Appliance,2010,Working,3,69.68,Automated,New York,Facility D,2024/5/27,E-Waste Disposal,34.62,None,EcoWaste Solutions,3.57,China
1034,Headphone,Samsung,Samsung Model 851,Electronics,2016,Working,5,0.19,Automated,London,Facility B,2024/3/23,Parts for Electronics,24.39,None,Green Electronics,7.01,Brazil
6906,Microwave,LG,LG Model 802,Appliance,2010,Partially Working,5,11.6,Both,Mumbai,Facility B,2024/1/9,Parts for Electronics,43.35,Lead,EcoWaste Solutions,15.79,Germany
5429,Refrigerator,HP,HP Model 552,Appliance,2016,Broken,1,80.23,Automated,Berlin,Facility C,2023/11/23,Raw Materials,51.56,Lead,Green Electronics,13.23,China
4756,Headphone,Samsung,Samsung Model 900,Electronics,2016,Broken,2,0.43,Manual,New York,Facility A,2023/12/9,E-Waste Disposal,19.22,None,E-Waste Inc.,13.33,India
6746,Washing Machine,HP,HP Model 403,Appliance,2018,Broken,1,69.63,Manual,Berlin,Facility C,2023/12/13,Parts for Electronics,110.9,None,E-Waste Inc.,4.23,USA
8855,Microwave,Dell,Dell Model 873,Appliance,2014,Broken,5,11.89,Manual,Mumbai,Facility D,2024/10/22,Parts for Electronics,85.26,Cadmium,Green Electronics,15.29,China
9702,Washing Machine,Sony,Sony Model 566,Appliance,2014,Partially Working,5,70.08,Manual,Dhaka,Facility A,2024/4/30,Raw Materials,150,Lead,EcoWaste Solutions,1.54,USA
5468,Laptop,Dell,Dell Model 188,Computers,2016,Working,5,2.36,Manual,London,Facility C,2024/11/1,Parts for Electronics,106.44,None,EcoWaste Solutions,16.09,Germany
9284,Washing Machine,Xiaomi,Xiaomi Model 529,Appliance,2020,Working,4,70.14,Both,New York,Facility A,2024/8/18,Raw Materials,21.3,Cadmium,E-Waste Inc.,3.93,Germany
2919,Headphone,Panasonic,Panasonic Model 611,Electronics,2012,Partially Working,4,0.59,Manual,London,Facility C,2024/6/29,E-Waste Disposal,104.97,Lead,EcoWaste Solutions,15.39,USA
475,Refrigerator,HP,HP Model 328,Appliance,2012,Working,5,79.5,Both,Dhaka,Facility A,2024/3/10,E-Waste Disposal,171.96,Mercury,E-Waste Inc.,5.37,Germany
6081,Headphone,Dell,Dell Model 526,Electronics,2021,Partially Working,1,0.67,Both,Shanghai,Facility D,2024/6/25,Raw Materials,178.7,Cadmium,Green Electronics,6.76,Brazil
2440,Laptop,Apple,Apple Model 267,Computers,2012,Working,4,2.24,Manual,Berlin,Facility A,2024/3/14,Raw Materials,109.11,Mercury,E-Waste Inc.,5.74,Brazil
7250,Washing Machine,Panasonic,Panasonic Model 654,Appliance,2021,Partially Working,3,69.86,Automated,Shanghai,Facility B,2023/12/23,Raw Materials,174.18,Lead,Green Electronics,15.67,India
711,Refrigerator,Dell,Dell Model 719,Appliance,2013,Broken,4,79.77,Automated,London,Facility D,2024/9/5,Parts for Electronics,58.59,Mercury,EcoWaste Solutions,17.76,Germany
4713,Refrigerator,Samsung,Samsung Model 160,Appliance,2020,Broken,5,79.73,Both,New York,Facility A,2024/9/25,E-Waste Disposal,29.51,Cadmium,Green Electronics,2.75,USA
178,Laptop,Samsung,Samsung Model 543,Computers,2022,Partially Working,4,1.99,Manual,London,Facility C,2024/3/13,Raw Materials,74.9,Cadmium,EcoWaste Solutions,7.11,USA
5735,TV,Samsung,Samsung Model 712,Electronics,2013,Partially Working,4,14.83,Manual,London,Facility C,2024/4/11,E-Waste Disposal,126.83,None,EcoWaste Solutions,16.66,USA
4364,Microwave,LG,LG Model 521,Appliance,2012,Broken,3,12.38,Both,New York,Facility A,2024/7/26,Parts for Electronics,191.77,Lead,EcoWaste Solutions,4.83,USA
3032,Air Conditioner,Apple,Apple Model 466,Appliance,2021,Working,5,30.22,Both,Mumbai,Facility D,2024/11/19,Parts for Electronics,139.34,Lead,EcoWaste Solutions,15.74,Germany
3069,Headphone,Xiaomi,Xiaomi Model 709,Electronics,2015,Partially Working,2,0.22,Manual,Berlin,Facility C,2024/1/16,Parts for Electronics,60.1,Mercury,E-Waste Inc.,17.26,Brazil
8371,TV,Samsung,Samsung Model 532,Electronics,2015,Broken,5,15.28,Both,Shanghai,Facility C,2024/5/7,Raw Materials,183.63,None,EcoWaste Solutions,9.38,USA
5272,Washing Machine,Apple,Apple Model 609,Appliance,2019,Partially Working,5,69.63,Automated,Mumbai,Facility D,2024/5/16,Parts for Electronics,91.84,Cadmium,EcoWaste Solutions,1.55,USA
8319,Air Conditioner,Panasonic,Panasonic Model 884,Appliance,2015,Broken,1,30.1,Manual,Shanghai,Facility B,2024/7/30,E-Waste Disposal,52.74,Mercury,Green Electronics,8.24,Germany
3988,Refrigerator,Apple,Apple Model 664,Appliance,2019,Working,2,79.83,Manual,Berlin,Facility B,2024/8/16,E-Waste Disposal,41.16,None,Green Electronics,5.26,China
736,Air Conditioner,Samsung,Samsung Model 194,Appliance,2017,Broken,2,29.87,Automated,Shanghai,Facility D,2024/9/4,E-Waste Disposal,74.79,None,E-Waste Inc.,14.05,India
4333,Refrigerator,LG,LG Model 565,Appliance,2019,Working,1,80.04,Manual,Dhaka,Facility A,2024/2/3,Raw Materials,178.32,Lead,Green Electronics,5.44,Germany
3891,Air Conditioner,HP,HP Model 965,Appliance,2022,Working,5,29.9,Both,London,Facility A,2024/1/28,Raw Materials,6.47,Mercury,E-Waste Inc.,7.6,USA
